Sr No.,Project Name,Sponsoring Authority,Location,Sector,Sub Sector,Total Project Cost (In Rs. Crore),PPPAC Meeting Date,Meeting Number,Recommended For
112,Widening and Strengthening of Bikaner - Phalodi section of NH - 15 to 4 lane from km 4.200 to km 55.250 and two lane with paved shoulder from km 55.250 ot km 163.500 under NHDP - Phase IV on BOT (Toll) mode in the state of Rajasthan,Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,823,27.02.2014,63rd PPPAC,Final approval
113,Development of additional liquid bulk terminal at Jawaharlal Nehru Port (JNPT),Ministry of Shipping,Maharashtra,Transport and Logistics,Ports,2496,27.02.2014,63rd PPPAC,Final approval
114,"Delhi - Meerut Expressway and other connecting roads including 6/8 laning of NH-24 from km 0.000 to km 49.23, NH-58 from km 6.800 to km52.528 and  NH-235 from km 0.360 to km 8.800 on DBFOT  (Toll) basis in the State of Delhi and Uttar Pradesh (Total Length)",Ministry of Road Transport and Highways,Multi State,Transport and Logistics,Roads,6571,27.02.2014,63rd PPPAC,Final approval
115,Four laning of Sultanpur-Varanasi Section of NH-56 from km 134.700 to km 271.300 in the State of Uttar Pradesh under NHDP - IV on DBFOT (Toll) basis.,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,1778,27.02.2014,63rd PPPAC,Final approval
116,Four-laning of Ghaghar Bridge (Indo Nepal Border) to Varanasi section from Km 121.800 to Km 298.450 of NH 233 in the State of Uttar Pradesh under NHDP IV on BOT (Toll) basis,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,1954,27.02.2014,63rd PPPAC,Final approval
117,"Four laning of Zirakpur to Patiala section of NH 64 under VGF Scheme, length 50.70 km",Ministry of Road Transport and Highways,Punjab,Transport and Logistics,Roads,536,27.02.2014,63rd PPPAC,Final approval
118,Four laning with PSS of Amritsar to Bathinda section  of NH - 15 from km 103.000 to km 287.500 in the State of Punjab  on BOT (Toll) basis under NHDP - IV,Ministry of Road Transport and Highways,Punjab,Transport and Logistics,Roads,1899,27.02.2014,63rd PPPAC,Final approval
119,Two laning with paved shoulder / Four laning of Tamil Nadu / Karnataka Border to Bangalore section of NH-209 from km 266.530 to km 458.52  in the State of Karnataka under NHDP Ph IV on DBFOT (Toll) basis,Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,693,17.01.2014,62nd PPPAC,Final approval
120,Four laning of Kazhakkuttam to Mukkola section in the State of Kerala,Ministry of Road Transport and Highways,Kerala,Transport and Logistics,Roads,578,17.01.2014,62nd PPPAC,Final approval
121,Two laning with paved shoulder  of Jabalpur - Mandala - Chilpi section  from km 3/4 to km 192.400 of NH-12A in the State of Madhya Pradesh on DBFOT basis under NHDP - IV,Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,812,17.01.2014,62nd PPPAC,Final approval
122,Four laning of Ambala - Kaithal section of NH-65 including Ambala Bypass in the State of Haryana on BOT (Toll) project on DBFOT (Toll) basis under NHDP Phase II,Ministry of Road Transport and Highways,Haryana,Transport and Logistics,Roads,878,17.01.2014,62nd PPPAC,Final approval
123,"Development of 4th Container at JNPT, Nhava Seva near Mumbai in the State of Maharashtra on DBFOT basis",Ministry of Shipping,Maharashtra,Transport and Logistics,Ports,7915,26.12.2013,61st PPPAC,Final approval
124,"Development of Container Terminal at Ennore Port, Tiruvallur District in the State of Tamil Nadu",Ministry of Shipping,Tamil Nadu,Transport and Logistics,Ports,1270,26.12.2013,61st PPPAC,Final approval
125,Development of  Offshore  Multipurpose Cargo Berth at Mumbai Port in the State of Maharashtra on DBFOT basis,Ministry of Shipping,Maharashtra,Transport and Logistics,Ports,696,26.12.2013,61st PPPAC,Final approval
126,Development  of a Container Terminal at Tuna Tekra in Kandla Port Kutch region in the State of Gujarat on DBFOT basis,Ministry of Shipping,Gujarat,Transport and Logistics,Ports,5992,26.12.2013,61st PPPAC,Final approval
127,"Development of a  Container Terminal at Diamond Harbour near Kolkota Port, in the State of West Bengal on DBFOT basis",Ministry of Shipping,West Bengal,Transport and Logistics,Ports,1759,26.12.2013,61st PPPAC,Final approval
128,Two laning with paved shoulder from km 0.000 to km7.950 ( Katni Bypass) & km 4.600 to km 245.000  of Katni -  Shahdol - Anooppur to MP/CG Border section on NH-78 in the State of Madhya Pradesh on DBFOT,Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,811,26.12.2013,61st PPPAC,Final approval
129,Four laning with paved side shoulders of a section betwwen Jharpokharia Baleshwar,Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,706,31.10.2013,60th PPPAC,Final approval
130,Four laning of PSS of Sangrur - Punjab/Haryana border section of NH - 71 from km 181.805 (Sangrur) to km 238.695 (Punjab/Haryana border) in the State of Punjab on BOT (Toll) basis under NHDP - IV,Ministry of Road Transport and Highways,Punjab,Transport and Logistics,Roads,482,05.08.2013,59th PPPAC,Final approval
131,Two laning of Zojila Tunnel of 14.083 km length on NH - 1D in the State of Jammu & Kashmir on BOT annuity basis,Ministry of Road Transport and Highways,Jammu and Kashmir,Transport and Logistics,Roads,9090,05.08.2013,59th PPPAC,Final approval
132,Four laining with PSS of Kaithal to Rajasthan Border section of NH 152/65 from km 33.250 to km 243.580 in the State of Haryana under NHDP IV  on BOT (Toll) basis,Ministry of Road Transport and Highways,Haryana,Transport and Logistics,Roads,1393,21.05.2013,58th PPPAC,Final approval
133,Four laning with PSS of Aurangabad to Yedshi section on NH 211  from km 100.000 to km 290.200 in the State of Maharashtra on DBFOT pattern,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,1871,21.05.2013,58th PPPAC,Final approval
134,Four laning with PSS of Solapur to Yedshi section on NH 211  from km 0.000 to km 100.000 in the State of Maharashtra on DBFOT pattern,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,973,21.05.2013,58th PPPAC,Final approval
135,Two /Four laning with PSS of Gadu to Dwaraka section on NH 8E from km 263.000 to km 473.000 in the State of Gujarat on DBFOT pattern,Ministry of Road Transport and Highways,Gujarat,Transport and Logistics,Roads,1529,21.05.2013,58th PPPAC,Final approval
136,"Six/ Eight laning of JNPT Port Road Project ofn Mumbai JNPT Port Road Company  Ltd. (MJPRCL) from km 3.60 to km 27.27  at NH 4B (A1 - E section), km 0.0 to km 4.492 at NH-4B (D-G section), km 5.3 to km 14. 85 on SH-54 and km 0.000 to km 6.200 on Amra Marg",Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,1822,21.05.2013,58th PPPAC,Final approval
137,Four laning with PSS of a section between Ghoshpukur- Falakata-Salsalabari Section of NH 31D in the state of West Bengal on BOT (Toll) basis under NHDP-II.,Ministry of Road Transport and Highways,West Bengal,Transport and Logistics,Roads,2212,22.02.2013,57th PPPAC,Final approval
138,"Development of a new terminal termed as the extension of the existing container terminal, Outer Harbour, extending upto the Eastern breakwaters, at Visakhapatnam Port on Design Build, Finance, Operate and Transfer (DBFOT) basis",Ministry of Shipping,Andhra Pradesh,Transport and Logistics,Ports,633,22.02.2013,57th PPPAC,Final approval
139,"Up-gradation of existing facilities of OB-1, OB-2 at Outer Harbour (OH) and WQ-1 Berth at Inner Harbour (IH) of Visakhapatnam Port for handling iron ore cargo on DBFOT basis",Ministry of Shipping,Andhra Pradesh,Transport and Logistics,Ports,845,22.02.2013,57th PPPAC,Final approval
140,"Two laning with PSS a section, between Kerala Border to Kollegal section of NH-212 in the state of Karnataka on BOT (Toll) basis under NHDP-IV",Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,523,22.02.2013,57th PPPAC,Final approval
141,"Four-laning of Rohtak - Hisar Section of NH-10 connecting to NH-71, in Haryana under NHDP-III on BOT (Toll) basis",Ministry of Road Transport and Highways,Haryana,Transport and Logistics,Roads,959,21.12.2012,56th PPPAC,Final approval
142,Four-laning of Bhuban-Dubari-Chandikhole section of NH-200 in Odisha under NHDP-III on DBFOT (Toll) basis.,Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,652,21.12.2012,56th PPPAC,Final approval
143,Four-Laning of Bhavnagar-Veraval Section of NH-8E in Gujarat under NHDP-IV on BOT (Toll) basis,Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,2782,21.12.2012,56th PPPAC,Final approval
144,Four-laning a section between Khed-Sinnar section of NH 50 from km 42 to km 177 in the State of Maharashtra under NHDP-IV on BOT (Toll) basis.,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,1348,21.12.2012,56th PPPAC,Final approval
145,Four-laning of Rewa-Sidhi section of NH-75 E from km. 2.8 to km 83.4 in the State of Madhya Pradesh under NH (O) on DBFOT (Toll) basis,Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,628,21.12.2012,56th PPPAC,Final approval
146,Two-laning with Paved Side Shoulders of Nagaur-Jodhpur section of NH-65 from km 166.26 to km 296.07 in the State of Rajasthan under NH (O) on DBFOT (Toll) basis.,Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,440,21.12.2012,56th PPPAC,Final approval
147,"Development of a multipurpose Berth and a Mechanised Berth at Haldia Dock -II (North), Haldia Dock Complex(HDC), Kolkata Port Trust",Ministry of Shipping,West Bengal,Transport and Logistics,Ports,821,21.11.2012,55th PPPAC,Final approval
148,"Development of a multipurpose Berth and a Mechanised Berth at Haldia Dock -II (South), Haldia Dock Complex(HDC), Kolkata Port Trust",Ministry of Shipping,West Bengal,Transport and Logistics,Ports,886,21.11.2012,55th PPPAC,Final approval
149,"Two-laning with PSS section, between Bijapur, Gulbarga, Homnabad section of NH 218 from Km 195.000 to Km 418.000 in the State of Karnataka on BOT (Toll)",Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,681,28.09.2012,54th PPPAC,Final approval
150,Four-laning with PSS of Jabalpur-Bhopal section of NH-12 from km 10.400 to km 301.800 under NHDP Phase III on BOT (Toll) basis,Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,2486,28.09.2012,54th PPPAC,Final approval
151,"Four/Two-laning of Baharagora to Sambalpur Section from km 200.00 to 566.000 Section of NH-6 in the State of Orissa under NHDP, IV on BOT (Toll) basis",Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,1949,28.09.2012,54th PPPAC,Final approval
152,"Two laning Z-Morh Tunnel section of NH-I on BOT (Annuity) in Sonamarg, Srinagar, Jammu and Kashmir",Ministry of Road Transport and Highways,Jammu and Kashmir,Transport and Logistics,Roads,2680,16.07.2012,53rd PPPAC,Final approval
153,Four-laning of Kashipur-Sitarganj Section of NH-74 from km 175.000 to km 252.200 in the States of Uttarakhand and Uttar Pradesh under NHDP V B on BOT (Toll) basis,Ministry of Road Transport and Highways,Multi State,Transport and Logistics,Roads,606,16.07.2012,53rd PPPAC,Final approval
154,"Four-laning of a section under NHDP-IV, between Hubli - Hospet section of NH 63 from km 129+249 to km 267+000 in the State of Karnataka on BOT (Toll) basis.",Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,1293,16.07.2012,53rd PPPAC,Final approval
155,"Four-laning of Rajsamand-Bhilwara section of NH-(78, 79 & 8) from km 0.000 to km 87.250 in the State of Rajasthan under NHDP IV on BOT (Toll) basis.",Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,678,16.07.2012,53rd PPPAC,Final approval
156,"Two-laning with PSS of Salasar to Haryana border, section of NH-65 from km 154.141 to km 0 and capacity augmentation in 2021 for four laning in the State of Rajasthan under NHDP IV on BOT (Toll) basis",Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,530,16.07.2012,53rd PPPAC,Final approval
157,Four-laning with PSS of Jodhpur-Pali section of NH-65 (from km 308.0 to km 366.0) and Pali bypass starting from km 366.0of NH-65 to km 114 of NH-14 in the State of Rajasthan under NH (O) on DBFOT (Toll) basis,Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,333,16.07.2012,53rd PPPAC,Final approval
158,"Development of Single Point Mooring (SPM) & allied facilities off Veera, outside Kandla Creek at Kandla Port, Gulf of Kutch, Gujarat on BOT basis to handle crude (petroleum) oil",Ministry of Shipping,Gujarat,Transport and Logistics,Ports,622,10.07.2012,52nd PPPAC,Final approval
159,"Development of North Cargo Berth-III for handling bulk cargoes, Thermal Coal and Rock Phosphate, at V.O Chidambaranar Port on DBFOT basis",Ministry of Shipping,Tamil Nadu,Transport and Logistics,Ports,420,10.07.2012,52nd PPPAC,Final approval
160,"Development of North Cargo Berth-IV for handling bulk cargoes, Thermal Coal and Copper Concentrate, at V.O Chidambaranar Port on DBFOT basis",Ministry of Shipping,Tamil Nadu,Transport and Logistics,Ports,355,10.07.2012,52nd PPPAC,Final approval
161,"Development of a Riverine Multipurpose Jetty at the Outer Terminal-1 in the upstream of 3rd Oil Jetty at Haldia Port in order to handle bulk cargo, commodities Coal, Iron ore & other dry bulk cargo on DBFOT basis",Ministry of Shipping,West Bengal,Transport and Logistics,Ports,279,10.07.2012,52nd PPPAC,Final approval
162,Four laning of Goa/Karnataka Boarder to Kundapur section of NH - 17 from km 93.700 to km 283.300 in the state of Karnataka under NHDP -IV pm DBFOT (Toll),Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,1655,09.03.2012,51st PPPAC,Final approval
163,Six laning of Anandapuram-Visakhapatnam-Anakapalli section of NH-5 from Km 682.98 to Km 741.200 in the State of Andhra Pradesh under NHDP Phase-V on BOT (Toll) basis.,Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,839,09.03.2012,51st PPPAC,Final approval
164,Six laning (including Construction of additional 4 lane Bridge across River Narmada) of Vadodara-Surat Section of NH-8 from 192.000 to Km 198.000 in the State of Gujarat under NHDP Phase-V on BOT (Toll) basis.,Ministry of Road Transport and Highways,Gujarat,Transport and Logistics,Roads,473,09.03.2012,51st PPPAC,Final approval
165,Four laning of Coimbatore-Mettupalayam Section of NH-67 from Km 323/850 to Km 377/780 in the State of Tamil Nadu under NHDP Phase-III on BOT (Toll) basis.,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,592,09.03.2012,51st PPPAC,Final approval
166,Four laning of Haryana/Punjab Border to Jind Section of NH-71 from Km 239.000 to Km 307.000 in the State of Haryana under NHDP Phase-III on BOT (Toll) basis.,Ministry of Road Transport and Highways,Haryana,Transport and Logistics,Roads,439,09.03.2012,51st PPPAC,Final approval
167,Six-laning of Aurangabad-Barwa Adda Section of NH-2 from Km 180.000 to 398.750 in the State of Bihar and Jharkhand under NHDP Phase-V on BOT (Toll) basis.,Ministry of Road Transport and Highways,Multi State,Transport and Logistics,Roads,2340,09.03.2012,51st PPPAC,Final approval
168,Six-laning of Gundugolanu - Rajahmundry section of NH-5 from km 1022.494 to km 901.753 in the State of Andhra Pradesh under NHDP Phase V on BOT (Toll) basis.,Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,1617,17.02.2012,50th PPPAC,Final approval
169,Four laning of Hoskate-Dabespet Section on NH-207 in the State of Karnataka under NHDP Phase IV on DBFOT (Toll) basis,Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,721,17.02.2012,50th PPPAC,Final approval
170,Patiala-Sangrur-Barnala-Bathinda section of NH-64 from Km. 50.000 to Km. 209.500 in the state of Punjab (DBFOT) basis under NHDP-IV.,Ministry of Road Transport and Highways,Punjab,Transport and Logistics,Roads,1586,17.02.2012,50th PPPAC,Final approval
171,Two laning with paved shoulders of Raibarelly-Jaunpur Section of NH-231 from Km 0.000 to Km 166.4 in the state of Uttar Pradesh under NHDP - IV on BoT (Annuity) basis.,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,569,17.02.2012,50th PPPAC,Final approval
172,Two laning with paved shoulders of Nagaur-Bikaner section of NH-89 from km 171/00 to km 267/325 of NH 89 (including bypass at Nagaur from km 180/500 of NH-65 to km 171/00 of NH-89) in the state of Rajasthan under NH (Others) with implementation of the pro,Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,378,17.02.2012,50th PPPAC,Final approval
173,Mechanisation of WQ-1  Berth in the Inner Harbour of Visakhapatanam  Port for handling Iron Ore on DBFOT Basis,Ministry of Shipping,Andhra Pradesh,Transport and Logistics,Ports,275,23.01.2012,49th PPPAC,Final approval
174,"Chandikole - Paradeep Section, km 0.000 to 76.618  of NH - 5A  under NHDP V on BOT (Toll)",Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,1014,23.01.2012,49th PPPAC,Final approval
175,"Four laning of Chandikhole - Dubari - Talchar Secton of NH 200, km 301.89 to km 428.03 including km 8.500 to km 15,.75  in the State of Orissa",Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,1273,13.12.2011,48th PPPAC,Final approval
176,"Four laining of Gomti -  Chauraha - Udaipur Section of NH - 8 , km 177.000 to km 260. 10 under NHDP  - IV A on BOT (Toll) Basis",Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,943,13.12.2011,48th PPPAC,Final approval
177,"Two / Four laing of Vikravandi to Meensuruti Section of NH - 45C from km 0 .000 to km 93.500 and two laning with PSS from Meensuruti, km 93.500 to Thanjavur km 164.614 in the State of Tamil Nadu under NHDP - IV  on BOT (Toll) Basis.",Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,1090,13.12.2011,48th PPPAC,Final approval
178,Two /  Four laning of section between Madurai to Ramanathapuram  from km  5.000 to km 79. 340 and two lane with paved shoulders from km 79.340 to km 118.795 of NH 49 in Tamil Nadu under NHDP Phase III  on BOT (Toll)  Basis.,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,683,13.12.2011,48th PPPAC,Final approval
179,Two / Fourl laning with paved shoulders  of Sikar - Bikaner Section of NH - 11 (km 340.188 to km 557. 775 via Sikar By - Pass) and Bikaner Bypass (km 553. 869 of NH-11 to km 267.325 of NH-89) in the State of Rajasthan under National Highways (Others)  on,Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,628,13.12.2011,48th PPPAC,Final approval
180,Four laning with paved shoulders of Sinnnar - Nashik Section of NH-50 (km 177 to 201.35 in the state of Maharashtra under National Highways (Others)  on BOT (Toll) Basis,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,313,13.12.2011,48th PPPAC,Final approval
181,Construction of new bridges and operation and maintenance of four-laned road of the Baleshwar-Kharagpur section of NH-60 from km 0.00 to km 119.30 on BOT (Toll) basis,Ministry of Road Transport and Highways,Bihar,Transport and Logistics,Roads,480,11.11.2011,47th PPPAC,Final approval
182,Six-laning of Vijayawada-Gundugolanu section of NH-5 section from km 1076.48.00 to km 1022.48 under NHDP Phase V on BOT (Toll) basis:,Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,1684,11.11.2011,47th PPPAC,Final approval
183,Four-laning Kiratpur- Ner Chowk Section from  Km 73.20 to Km 186.50 of NH-21 in the State of Himachal Pradesh under NHDP-III on BOT (Toll) basis:,Ministry of Road Transport and Highways,Himachal Pradesh,Transport and Logistics,Roads,1818,11.11.2011,47th PPPAC,Final approval
184,"Four-laning a section of the National Highway 73, between 4 Laning of Panchkula, Yamunanagar section from Km 71.640 to Km 179.285  in the State of Haryana under NHDP-III on BOT (Toll) basis:",Ministry of Road Transport and Highways,Haryana,Transport and Logistics,Roads,935,11.11.2011,47th PPPAC,Final approval
185,Development of housing for Central Para Military Forces (CPMF) through BoT (Annuity) mode for 10 clusters (Lot 2),Ministry of Home Affairs,Multi State,Social and Commercial Infrastructure,Affordable Housing,3818,14.09.2011,46th PPPAC,Final approval
186,Four laning of Rampur-Kathgodam section of NH-87 from km 0.000 to km 88.000 in the state of Uttar Pradesh and Uttarakhand under NHDP Phase-III on BoT (Toll) basis,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,790,14.09.2011,46th PPPAC,Final approval
187,Four laning of Maharashtra/Karnataka Border to Sangareddy Section of NH 9 from Km 348/800 to km 423/800 on BoT (Toll) in the state of Karnataka and Andhra Pradesh under NHDP Phase IVB,Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,1273,14.09.2011,46th PPPAC,Final approval
188,Four laning of Solapur-Maharashtra/Karnataka Border section of NH-19 from km 249.000 to km 348.800 in the State of Maharashtra under NHDP Phase IV B on BoT (Toll) basis.,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,923,14.09.2011,46th PPPAC,Final approval
189,Four laning of sections from km 277.500 to km 333.500 (Mahullia to Bahragora) of NH 33 and from km 200.55 to km 134.40 (Bahragora to Kharagpur) of NH 6 in the State of Jharkhand and West Bengal under NHDP Phase IVB on DBFOT (Toll) basis,Ministry of Road Transport and Highways,Multi State,Transport and Logistics,Roads,940,14.09.2011,46th PPPAC,Final approval
190,Four laning of Lucknow Raebarelly Section of NH-24 B from km 12.700 to km 82.700 on BoT (Annuity) under NHDP Phase-IV B in the State of U.P.,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,636,14.09.2011,46th PPPAC,Final approval
191,"Six laning of Etawah Chakeri (Kanpur) section of NH 2  under NHDP Phase V, length 160.21 km",Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,1573,14.09.2011,46th PPPAC,Final approval
192,Six laning of Barwa-Adda-Panagarh section of NH 2 in the State of Jharkhand and West Bengal under NHDP PhaseV on BOT (Toll) basis,Ministry of Road Transport and Highways,West Bengal,Transport and Logistics,Roads,1714,17.08.2011,38th PPPAC,Final approval
193,"Four Laning of Vijaywada-Machilipatnam section of NH 9 under NHDP Phase III, length 64.611 km",Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,606,10.08.2011,45th PPPAC,Final approval
194,"Two/ four laning of Obedullaganj -Shahganj Junction, Budhni- Betul Section of NH 69  under NHDP-IV, length  121.36 km",Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,1152,10.08.2011,45th PPPAC,Final approval
195,"Two laning of Ajmer to Nagaur section on NH 89 under VGF Scheme, length 148.25 km",Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,377,10.08.2011,45th PPPAC,Final approval
196,"Two laningof Bikaner to Suratgarh section on NH 11 under VGF Scheme, length 172.384 km",Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,501,10.08.2011,45th PPPAC,Final approval
197,"Two laning of Chittorgarh-Neemach section of NH 79 and Nimbahera-Pratapgarh section of NH 113 under VGF Scheme, length 116.997 km",Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,511,10.08.2011,45th PPPAC,Final approval
198,"Two laning of Suratgarh-Sriganganagar section of NH 15 under VGF Scheme, length 78.10 km",Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,224,10.08.2011,45th PPPAC,Final approval
199,"Four laning of Mangwan to MP/UP border section of NH 27 under VGF Scheme, length 52.074 km",Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,382,10.08.2011,45th PPPAC,Final approval
200,"Four laning of Sidhi to Singrauli section of NH 75E under VGF Scheme, length 102.60 km",Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,871,10.08.2011,45th PPPAC,Final approval
201,"Four laning of Mangwan to  Satna to Bela section of NH 75 under VGF Scheme, length 48.04 km",Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,320,10.08.2011,45th PPPAC,Final approval
202,"Six laning of Kishangarh -Udaipur- Ahmedabad section of NH 79A, NH79, NH 76 and NH 8 under NHDP Phase V, length 555.50 km",Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,5387,20.06.2011,44th PPPAC,Final approval
203,"Four laning of Lucknow -Sultanpur section of NH 56 under NHDP Phase IV, length 123.40 km",Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,1013,20.06.2011,44th PPPAC,Final approval
204,"Four laning of Angul-Sambalpur section of NH 42 under NHDP Phase IV, length 153 km",Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,1220,20.06.2011,44th PPPAC,Final approval
205,"Two/four laning of Birmitrapur to Barkote section of NH 23 under NHDP Phase IV, length 125.615 km",Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,778,20.06.2011,44th PPPAC,Final approval
206,"Four laning of Bhopal to Biaora section of NH 12  under VGF scheme, length 105.60 km",Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,704,20.06.2011,44th PPPAC,Final approval
207,"Four laning of Rewa to MP/UP Border of NH 7  under VGF scheme, length 89.30 km",Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,671,20.06.2011,44th PPPAC,Final approval
208,"Four-Laning of Hospet, Bellary Section of NH-63 under NHDP Phase IV, length 95.44 km",Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,910,20.05.2011,43rd PPPAC,Final approval
209,Four Laning of Walayar to Vadakkancherry Section (Package No.NS-2/BOT/KL-2),Ministry of Road Transport and Highways,Kerala,Transport and Logistics,Roads,682,20.05.2011,43rd PPPAC,Final approval
210,"Development of Housing Complex for Delhi Police Personnel at Dheerpur, Delhi",Ministry of Home Affairs,Delhi,Social and Commercial Infrastructure,Affordable Housing,791,19.04.2011,42nd PPPAC,Final approval
211,"Development of modernised Police Headquarter Building at Parliament Street, Delhi",Ministry of Home Affairs,Delhi,Social and Commercial Infrastructure,Affordable Housing,202,19.04.2011,42nd PPPAC,Final approval
212,Four-laning of Jabalpur- Kanti- Rewa Section of NH-7 from km 242.30 to km 465.50 in the State of Madhya Pradesh under NHDP Phase IV on BOT (Toll),Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,1907,19.04.2011,42nd PPPAC,Final approval
213,Four -laning of Orrisa border to Aurang section of NH-6 from km 88.0 to km 239.0 in the St6ate of Chattisgarh under Phase IV B on DBFOT (Toll) basis,Ministry of Road Transport and Highways,Chhattisgarh,Transport and Logistics,Roads,1234,19.04.2011,42nd PPPAC,Final approval
214,"Four-laning of Meerut, Bulandshahar section of NH-235 from km 7.469 to km 73.156 in the State of Uttar Pradesh under NHDP Phase IV B on DBFOT (Toll) basis: TPC ` 505.0 crore.",Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,505,19.04.2011,42nd PPPAC,Final approval
215,"Development of a 7.2 MMTPA Iron Ore Export Terminal at the Waterfront West of the Breakwater on DBFOT basis (Mormugao Port Trust, Goa)",Ministry of Shipping,Goa,Transport and Logistics,Ports,721,25.01.2011,41st PPPAC,Final approval
216,Four laning of Jabalpur - Lakhandone section of NH7 from km 465.600 to km 546.425 in the State fo Madhaya Pradesh under NHDP Phase IVB on BOT (Too) basis,Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,777,25.01.2011,41st PPPAC,Final approval
217,Four laning of Gwalior - Shivpuri section of NH 3 from km 15.600 to NH 75 to km 236.000 in the State of Madhya Pradesh under NHDP Phase IV on BOT (Toll) basis.,Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,1059,25.01.2011,41st PPPAC,Final approval
218,Four laning of Shivpuri - Dewas section of NH3 from km 15.623 to km 566.45 in the State of Madhya Pradesh under NHDP Phase IV on BOT (Toll) basis.,Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,2815,25.01.2011,41st PPPAC,Final approval
219,Six laning of Ahmedabad Vadodara Section of NH 8 from km 6.400 to km 108.700 and improvement of Ahmedabad Vadodara Expressway from km 0 to km 93.302 in the State of Gujarat under NHDP Phase V on BOT(Toll) basis,Ministry of Road Transport and Highways,Gujarat,Transport and Logistics,Roads,2125,06.01.2011,40th PPPAC,Final approval
